id,carat,cut,color,clarity,depth,table,x,y,z,price
18472,0.34,Premium,G,VS2,61.6,60.0,4.47,4.49,2.76,596
26111,1.5,Very Good,J,VS2,62.6,58.0,7.25,7.29,4.55,7492
9097,1.5,Very Good,H,VVS1,60.9,61.0,7.36,7.39,4.49,11688
25811,1.01,Premium,G,SI2,60.4,59.0,6.57,6.52,3.95,4327
18096,0.33,Ideal,G,VS1,62.1,54.0,4.47,4.45,2.77,854
25605,1.25,Premium,J,VS1,62.2,58.0,6.88,6.92,4.29,5637
24007,1.21,Very Good,I,VS1,61.2,58.0,6.85,6.91,4.21,5866
5512,0.75,Ideal,E,VS1,62.0,55.0,5.88,5.83,3.66,3402
26961,1.1,Very Good,D,SI2,,63.0,6.76,6.69,3.94,4361
6682,0.41,Premium,G,VS1,61.9,60.0,4.7,4.76,2.93,899
22241,1.09,Good,D,IF,58.7,61.0,6.75,6.85,3.99,16406
17849,1.5,Very Good,D,SI1,63.1,57.0,7.31,7.24,4.59,11863
5467,1.0,Good,E,SI1,57.2,62.0,6.59,6.56,3.76,5345
20003,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,5200
15460,0.71,Ideal,G,VS1,,56.0,5.69,5.72,3.55,2962
8650,2.18,Ideal,F,SI2,62.6,55.0,8.27,8.22,5.16,14277
25405,0.8,Premium,E,SI1,62.9,60.0,5.89,5.87,3.7,3091
17836,0.53,Very Good,F,VS2,61.9,58.0,5.17,5.2,3.21,1631
8235,1.2,Very Good,J,VS1,,59.0,6.67,6.72,4.26,5257
13614,0.41,Ideal,E,VVS1,61.7,56.0,4.82,4.78,2.96,1431
20690,0.27,Ideal,I,VS1,62.2,55.0,4.15,4.18,2.59,432
19767,0.3,Premium,G,VVS1,61.7,58.0,4.3,4.26,2.64,1013
24827,1.03,Very Good,H,SI2,63.1,56.0,6.43,6.38,4.04,3288
1345,0.41,Ideal,G,VS1,59.8,57.0,4.86,4.81,2.89,961
22102,0.3,Ideal,H,SI1,61.9,54.0,4.33,4.36,2.69,389
13927,0.72,Very Good,F,SI1,62.2,59.0,5.72,5.76,3.57,2404
1630,1.25,Premium,J,VS1,62.2,58.0,6.92,6.88,4.29,5740
2903,0.41,Very Good,D,VVS1,62.7,56.0,4.74,4.77,2.98,1349
20736,2.12,Premium,E,SI2,62.4,58.0,8.22,8.18,5.12,13884
25698,0.34,Premium,I,SI1,60.0,58.0,4.51,4.55,2.72,459
10494,0.3,Ideal,G,VS1,62.3,56.0,4.32,4.29,2.68,776
8026,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,15412
14720,1.52,Premium,J,VS1,62.0,59.0,7.34,7.36,4.56,8110
25191,0.74,Very Good,F,SI1,61.5,58.0,5.82,5.85,3.59,2583
9158,1.0,Fair,J,SI2,56.3,64.0,6.58,6.54,3.69,3199
3951,0.42,Very Good,H,SI1,59.5,57.0,4.78,5.11,2.94,700
26746,2.01,Premium,H,SI2,60.5,61.0,8.14,8.09,4.91,16287
12374,0.32,Ideal,G,VS1,61.6,57.0,4.38,4.42,2.71,645
7822,1.02,Ideal,G,SI1,61.5,57.0,6.54,6.44,3.99,5398
11800,0.38,Ideal,F,VVS1,61.1,57.0,4.71,4.69,2.87,1160
15714,0.43,Premium,E,SI1,62.4,56.0,4.83,4.79,3.0,1016
14382,0.32,Good,H,SI1,63.1,54.0,4.36,4.42,2.77,449
20685,1.16,Premium,F,SI2,62.1,59.0,6.76,6.71,4.18,5164
21167,1.01,Ideal,H,SI1,62.3,55.0,6.46,6.45,4.02,5029
13862,0.52,Ideal,D,VS2,61.6,55.0,5.2,5.15,3.19,1919
3238,0.47,Ideal,H,SI2,62.4,53.0,4.98,5.02,3.12,782
22223,0.7,Very Good,G,VVS2,63.4,59.0,5.62,5.64,3.57,2905
4544,1.05,Premium,G,SI2,61.6,60.0,6.56,6.49,4.02,4318
18385,0.7,Ideal,H,VVS1,61.2,57.0,5.69,5.72,3.49,2947
20458,1.62,Premium,G,VS1,60.7,58.0,7.62,7.54,4.6,14447
21741,0.73,Premium,F,VS2,59.9,59.0,5.87,5.77,3.5,2841
15003,0.56,Very Good,F,SI1,63.2,56.0,5.29,5.24,3.33,1441
26791,0.51,Good,F,SI1,64.0,57.0,5.06,5.01,3.22,1274
21119,0.91,Ideal,D,SI2,62.2,57.0,6.21,6.15,3.85,2803
20739,1.71,Premium,J,SI1,62.9,58.0,7.64,7.58,4.79,8848
15998,0.72,Ideal,J,VVS1,62.4,58.0,5.71,5.76,3.58,2139
24079,0.76,Very Good,I,SI1,57.5,62.0,6.03,6.08,3.48,2316
1170,1.22,Premium,H,SI2,61.3,60.0,6.87,6.81,4.19,4509
23107,0.62,Very Good,F,VS2,59.8,58.0,5.55,5.59,3.33,2041
22350,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3,1777
8945,0.31,Ideal,E,VVS1,61.5,56.0,4.36,4.39,2.69,865
8093,0.3,Very Good,E,VS1,58.4,62.0,4.37,4.43,2.57,640
747,0.3,Premium,I,VS1,61.7,59.0,4.3,4.26,2.64,608
12054,0.3,Very Good,G,VS1,63.4,58.0,4.25,4.23,2.69,776
10765,0.51,Ideal,H,VVS1,61.4,55.0,5.13,5.16,3.16,1776
8283,1.18,Premium,G,SI2,,60.0,6.88,6.81,4.14,4988
2018,2.21,Premium,H,SI2,61.3,60.0,8.35,8.33,5.11,14299
8256,0.39,Ideal,G,VVS1,62.4,53.6,4.65,4.7,2.92,1008
20277,0.43,Ideal,G,VVS2,60.9,57.0,4.85,4.9,2.97,1056
16493,2.0,Premium,G,SI1,59.3,60.0,8.19,8.13,4.84,14918
14624,0.23,Very Good,D,VVS1,61.3,61.0,3.94,3.99,2.43,492
22739,0.5,Very Good,D,SI1,60.8,58.0,5.07,5.13,3.1,1436
13971,1.13,Very Good,D,SI2,62.3,60.0,6.59,6.7,4.14,5408
187,0.72,Ideal,F,SI1,61.7,55.0,5.74,5.77,3.55,2470
24603,1.12,Ideal,H,SI2,63.6,56.0,6.68,6.54,4.19,5331
26521,0.3,Premium,E,VS2,61.7,60.0,4.28,4.31,2.65,570
17815,2.06,Premium,I,SI2,61.1,57.0,8.3,8.24,5.05,12842
22191,1.02,Premium,G,VS1,61.0,58.0,6.55,6.49,3.98,6683
7684,0.38,Very Good,G,VS1,61.9,56.0,4.63,4.68,2.88,833
21082,0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,814
10667,1.01,Good,D,SI1,57.6,60.0,6.59,6.64,3.81,5501
5900,0.9,Very Good,G,SI1,63.0,57.0,6.13,6.19,3.88,3681
26257,0.32,Ideal,F,IF,61.3,57.0,4.4,4.44,2.71,929
11695,0.71,Ideal,G,SI1,62.1,54.0,5.72,5.75,3.56,2513
25769,0.36,Premium,G,VS1,59.7,56.0,4.67,4.64,2.78,932
3844,0.31,Ideal,G,SI1,61.2,55.0,4.37,4.39,2.68,446
7711,0.4,Good,E,SI1,63.7,56.0,4.69,4.66,2.98,882
6356,1.29,Very Good,J,SI1,61.2,58.0,6.97,7.02,4.28,5209
11065,0.68,Good,G,VVS1,61.9,55.0,5.63,5.68,3.5,3225
7364,0.41,Premium,J,VS1,62.1,58.0,4.79,4.75,2.96,830
6118,0.9,Very Good,E,SI1,63.5,55.0,6.22,6.12,3.92,3508
13242,0.3,Ideal,G,SI1,62.3,56.0,4.29,4.32,2.68,432
9762,0.38,Very Good,F,VS2,61.9,54.6,4.64,4.68,2.89,906
2785,2.25,Good,J,SI1,62.4,61.0,8.29,8.35,5.19,15287
15928,1.01,Good,E,SI1,64.1,59.0,6.31,6.35,4.06,4399
55,0.91,Very Good,G,SI2,62.9,54.0,6.14,6.22,3.89,3615
18532,1.51,Very Good,I,VVS1,63.0,59.0,7.24,7.3,4.58,11088
13180,0.7,Very Good,E,VS1,63.4,60.0,5.63,5.66,3.58,3068
7967,0.57,Premium,E,VS2,62.0,58.0,5.38,5.33,3.32,1763
19666,0.31,Premium,F,VS2,62.0,60.0,4.3,4.34,2.68,625
21384,1.09,Premium,I,SI2,62.3,62.0,6.63,6.57,4.11,2708
3399,0.3,Very Good,F,SI1,57.9,61.0,4.39,4.49,2.57,489
854,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,8779
19317,0.7,Ideal,E,SI2,61.9,57.0,5.66,5.69,3.51,2398
9850,1.73,Good,E,I1,63.6,59.0,7.6,7.56,4.82,8370
19709,1.33,Fair,G,SI2,63.0,62.0,6.9,6.87,4.34,6078
3995,0.38,Ideal,G,VS2,62.2,56.0,4.62,4.64,2.88,766
3796,0.3,Premium,G,VVS2,60.8,58.0,4.38,4.34,2.65,878
14726,0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,554
10328,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,731
13837,1.0,Good,E,SI1,61.6,62.0,6.35,6.42,3.93,5784
21370,0.31,Premium,F,VS2,61.4,58.0,4.36,4.4,2.69,625
21540,0.56,Very Good,J,SI1,60.3,59.0,5.3,5.34,3.21,957
22617,1.01,Premium,E,SI2,59.1,60.0,6.57,6.55,3.88,4412
8,0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,1415
12851,1.12,Ideal,F,VS1,62.1,54.0,6.66,6.73,4.16,9030
9433,0.53,Ideal,G,VVS2,60.6,56.0,5.25,5.28,3.19,1932
21208,1.5,Very Good,H,SI2,63.1,57.0,7.16,7.27,4.55,7495
11392,0.67,Premium,F,SI1,61.3,59.0,5.65,5.63,3.46,1809
14792,0.84,Good,F,I1,60.8,64.0,6.05,6.03,3.67,1749
10363,1.18,Ideal,H,SI1,61.4,55.0,6.84,6.78,4.18,6013
10882,0.66,Ideal,D,VVS2,61.3,57.0,5.59,5.63,3.44,3915
11533,0.3,Premium,G,VS1,61.8,60.0,4.29,4.32,2.66,605
466,0.31,Ideal,H,VVS1,62.6,53.0,4.35,4.41,2.74,687
11,0.32,Ideal,E,VS2,61.6,56.0,4.4,4.43,2.72,637
9057,1.01,Very Good,D,SI2,62.8,59.0,6.34,6.44,4.01,4588
5124,1.16,Ideal,G,VS1,61.5,55.0,6.75,6.81,4.17,9248
15784,1.06,Ideal,I,VVS2,62.2,55.0,6.51,6.55,4.06,6069
10514,1.08,Ideal,G,SI2,62.1,57.0,6.56,6.58,4.08,4733
885,0.24,Very Good,D,VS2,61.4,60.0,3.98,4.0,2.45,373
2355,0.32,Premium,F,SI2,59.7,59.0,4.43,4.48,2.66,421
15498,0.28,Very Good,D,VVS1,60.3,62.0,4.22,4.24,2.55,596
2994,0.33,Very Good,G,VVS1,62.8,59.0,4.38,4.44,2.77,868
9411,0.54,Ideal,E,SI1,60.6,58.0,5.27,5.29,3.2,1440
26764,0.9,Very Good,G,VVS2,62.6,55.0,6.12,6.19,3.85,4668
23335,0.3,Ideal,F,VS2,62.3,53.5,4.27,4.32,2.68,601
3794,1.2,Good,E,SI1,64.0,61.0,6.61,6.67,4.25,6969
25353,0.42,Premium,I,SI2,61.5,59.0,4.84,4.78,2.96,709
24214,1.75,Very Good,D,SI1,61.4,60.0,7.76,7.8,4.78,15544
2159,2.06,Premium,H,SI2,62.6,58.0,8.06,8.03,5.04,12931
901,0.56,Ideal,G,VVS2,61.6,56.0,5.29,5.32,3.27,1976
16477,0.42,Ideal,G,VVS2,60.7,55.0,4.86,4.89,2.96,1031
17692,0.39,Very Good,G,VS1,62.4,57.0,4.62,4.68,2.9,855
5010,0.8,Ideal,E,VS2,62.2,57.0,5.98,5.95,3.71,3584
24734,0.78,Premium,F,SI1,62.3,57.0,5.86,5.85,3.65,2469
25363,0.31,Ideal,F,IF,62.0,54.0,4.38,4.4,2.72,914
16482,0.39,Premium,G,VS1,62.6,58.0,4.7,4.66,2.93,1097
13588,0.31,Premium,H,SI1,59.0,57.0,4.44,4.4,2.61,573
14705,0.3,Ideal,D,VS2,61.6,56.0,4.31,4.36,2.67,670
4894,0.7,Good,F,VS1,63.7,55.0,5.56,5.61,3.56,2724
13094,0.74,Ideal,F,VS2,60.5,59.0,5.81,5.86,3.53,2936
23270,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2711
8823,0.43,Premium,H,SI1,59.0,58.0,4.93,4.96,2.92,716
16203,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
11696,0.43,Ideal,G,SI1,,57.0,4.84,4.87,2.98,790
25088,1.5,Ideal,H,SI2,62.4,58.0,7.29,7.26,4.54,8471
15332,0.7,Fair,G,I1,62.5,59.0,5.65,5.48,3.48,1069
18521,0.57,Premium,F,SI2,61.4,56.0,5.38,5.29,3.28,1176
12114,1.52,Ideal,G,VS2,61.4,56.0,7.39,7.47,4.56,14692
8534,0.3,Premium,E,VS2,59.2,59.0,4.37,4.41,2.6,658
6962,0.42,Ideal,G,VS2,62.2,56.0,4.8,4.82,2.99,847
2253,2.0,Very Good,E,SI2,63.5,59.0,7.9,7.98,5.04,15864
10815,0.56,Ideal,F,VS2,60.8,56.0,5.33,5.3,3.23,1778
2288,0.37,Ideal,G,SI1,61.8,55.0,4.62,4.64,2.86,745
14724,1.03,Ideal,G,VVS2,61.6,57.0,6.48,6.51,4.0,7876
11466,1.01,Premium,E,VS1,60.8,59.0,6.42,6.46,3.92,7821
24502,0.32,Ideal,F,VS1,61.3,55.0,4.43,4.46,2.72,676
7036,0.54,Ideal,I,VS2,61.9,56.0,5.2,5.26,3.24,1260
8587,0.72,Good,I,VS2,60.1,60.5,5.76,5.85,3.48,2174
5873,0.31,Ideal,D,VS2,61.5,56.0,4.35,4.37,2.68,734
8645,0.41,Premium,F,VVS2,60.1,59.0,4.82,4.79,2.89,1192
18993,0.51,Very Good,F,VVS2,60.3,55.0,5.22,5.26,3.16,2633
5593,0.7,Good,H,VS2,62.2,61.6,5.63,5.66,3.51,2428
17703,2.51,Ideal,H,SI1,62.9,56.0,8.65,8.61,5.43,15324
889,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,706
2557,0.53,Ideal,G,VVS2,60.4,56.0,5.29,5.24,3.18,2051
26352,1.01,Very Good,H,SI1,63.1,59.0,6.36,6.32,4.0,4836
15341,0.32,Ideal,F,VS2,61.6,57.0,4.43,4.4,2.72,828
23785,1.08,Very Good,G,VS2,63.2,60.0,6.53,6.44,4.1,6096
13104,0.71,Ideal,E,VS2,60.3,56.0,5.8,5.84,3.51,3217
25910,0.51,Ideal,I,VS2,60.6,57.0,5.16,5.21,3.14,1060
20744,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2384
26259,1.06,Premium,D,SI2,59.8,61.0,6.63,6.58,3.95,4483
15664,0.72,Good,D,SI2,64.1,57.0,5.64,5.71,3.64,2254
5461,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2760
6412,1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
5311,0.55,Ideal,G,VS2,62.4,56.0,5.25,5.23,3.27,1556
19843,0.41,Ideal,E,VVS2,61.6,56.0,4.8,4.78,2.95,1243
6588,1.34,Ideal,G,VVS1,62.2,56.0,7.11,7.04,4.4,11640
3683,0.31,Ideal,D,VS2,61.8,56.0,4.36,4.32,2.68,942
11457,1.05,Very Good,E,SI2,62.9,57.0,6.47,6.51,4.08,4398
4269,0.43,Good,E,SI1,60.6,61.0,4.96,4.98,3.01,723
14868,0.33,Ideal,E,VVS2,60.9,56.0,4.45,4.48,2.72,814
15283,0.35,Ideal,E,VS2,62.1,56.0,4.53,4.52,2.81,984
12035,1.52,Premium,G,VS1,61.4,58.0,7.38,7.35,4.52,13034
15238,0.51,Good,G,SI1,63.7,55.0,5.1,5.07,3.24,1259
21078,1.2,Premium,G,VS2,59.4,58.0,6.91,6.85,4.09,7258
1949,1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,4255
25262,0.41,Very Good,F,SI1,62.8,57.0,4.69,4.73,2.96,755
6020,1.01,Ideal,J,SI2,61.6,55.0,6.45,6.5,3.99,3732
8185,0.3,Ideal,G,IF,62.4,55.0,4.3,4.32,2.69,799
23693,0.42,Very Good,I,IF,,58.0,4.83,4.88,2.92,938
17474,1.22,Premium,H,SI1,61.9,56.0,6.89,6.84,4.25,6354
14997,0.7,Very Good,J,VS2,58.2,60.0,5.86,5.9,3.42,1896
9217,0.27,Ideal,F,VS2,61.9,54.0,4.14,4.16,2.57,583
6195,0.33,Ideal,F,VVS1,61.9,55.0,4.44,4.48,2.76,880
7257,0.3,Very Good,I,VS1,62.0,58.0,4.25,4.3,2.65,473
20851,1.21,Very Good,I,SI2,62.0,56.0,6.79,6.86,4.23,5111
850,1.01,Premium,H,VS2,62.3,60.0,6.32,6.27,3.92,4909
14544,0.3,Very Good,G,VS2,61.8,60.0,4.29,4.25,2.64,505
12875,1.17,Fair,E,VS2,64.5,56.0,6.75,6.68,4.33,6814
331,0.9,Premium,G,I1,61.3,59.0,6.2,6.15,3.78,1777
5357,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3740
7587,0.55,Premium,H,VVS1,61.1,57.0,5.35,5.26,3.24,1980
5762,0.8,Ideal,F,VS2,60.9,57.0,5.98,6.04,3.66,4043
24448,1.25,Premium,D,SI2,63.0,62.0,6.86,6.82,4.3,5947
8863,0.7,Premium,H,VS2,61.8,60.0,5.68,5.71,3.52,2330
12141,0.28,Very Good,E,VS1,62.8,60.0,4.16,4.21,2.63,434
25428,2.05,Premium,D,SI2,60.0,58.0,8.31,8.23,4.96,12891
14419,0.81,Ideal,E,VS2,61.5,57.0,6.0,6.06,3.71,3975
13793,0.73,Ideal,E,SI1,61.4,56.0,5.79,5.81,3.56,2886
25995,0.48,Premium,F,VS2,58.7,58.0,5.22,5.17,3.05,1294
5770,0.31,Ideal,G,SI2,61.7,56.0,4.34,4.38,2.69,408
18689,0.32,Ideal,F,VVS1,61.7,56.0,4.4,4.42,2.72,926
21282,0.31,Ideal,E,IF,,57.0,4.36,4.39,2.67,1319
3618,0.74,Very Good,G,VVS1,63.2,56.0,5.74,5.72,3.62,3328
21092,1.01,Good,E,SI1,64.1,62.0,6.19,6.26,3.99,4399
13922,1.01,Very Good,F,VS1,63.7,56.0,6.27,6.33,4.01,7001
11829,1.97,Premium,F,SI2,61.1,58.0,8.11,8.05,4.94,14542
6028,0.54,Premium,D,SI1,62.0,55.0,5.24,5.21,3.24,1786
9792,0.54,Ideal,G,VS1,61.7,56.0,5.22,5.25,3.23,1809
18369,0.72,Very Good,J,VS1,62.3,57.0,5.73,5.77,3.58,2136
2787,1.11,Very Good,G,VS2,,56.0,6.62,6.54,4.18,4834
24938,0.5,Very Good,D,SI2,63.4,59.0,5.03,5.0,3.18,1243
13222,0.3,Ideal,H,VVS1,62.3,57.0,4.25,4.28,2.65,650
16609,0.51,Ideal,E,VS2,62.0,56.0,5.15,5.11,3.18,1781
12729,1.01,Ideal,E,I1,62.0,57.0,6.41,6.37,3.96,3450
26204,0.57,Ideal,E,VVS2,61.9,55.0,5.34,5.36,3.31,2534
19107,0.97,Very Good,I,VS2,62.2,55.9,6.34,6.29,3.94,4018
620,0.39,Ideal,E,VS2,61.4,56.0,4.68,4.74,2.89,796
7353,0.9,Premium,I,VVS2,58.3,60.0,6.32,6.28,3.67,3931
21938,0.34,Ideal,H,VVS2,61.7,55.0,4.48,4.5,2.77,667
26455,2.01,Premium,G,SI2,62.3,60.0,8.04,7.97,4.99,15147
23431,0.43,Very Good,I,VVS2,62.8,58.0,4.8,4.82,3.02,850
8404,0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7,742
20748,0.72,Very Good,J,SI1,63.0,57.0,5.69,5.74,3.6,1966
17070,1.08,Ideal,H,SI2,62.0,57.0,6.65,6.55,4.06,3629
24717,0.31,Ideal,E,IF,,54.0,4.36,4.38,2.7,1214
10960,0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,2792
18713,1.23,Very Good,G,SI1,63.1,56.0,6.81,6.78,4.29,6665
10905,0.4,Premium,J,VS1,,60.0,4.76,4.79,2.9,631
7189,0.72,Ideal,D,VS2,62.0,54.8,5.73,5.76,3.56,3543
13699,0.74,Premium,G,SI2,60.1,58.0,5.89,5.86,3.53,2206
22323,2.05,Premium,I,SI2,62.0,58.0,8.13,8.08,5.02,9850
7432,0.33,Ideal,G,VS2,61.7,55.9,4.45,4.49,2.75,604
9722,0.32,Premium,G,VS2,61.5,58.0,4.4,4.35,2.69,720
7,1.01,Good,H,SI1,63.7,60.0,6.35,6.3,4.03,4836
904,0.3,Premium,F,VS2,61.6,58.0,4.31,4.29,2.65,776
712,0.41,Good,E,SI2,63.8,57.0,4.75,4.68,3.01,818
23885,0.38,Ideal,F,VS2,62.0,54.0,4.64,4.69,2.89,796
21889,0.3,Premium,I,VVS2,61.7,58.0,4.37,4.28,2.67,675
12938,1.59,Ideal,G,VVS2,60.6,59.0,7.53,7.59,4.58,15843
11421,0.39,Premium,F,VVS1,59.7,58.0,4.75,4.73,2.83,1290
21691,0.7,Ideal,F,VS2,61.3,56.0,5.74,5.71,3.51,2717
25182,1.13,Very Good,J,SI1,63.5,59.0,6.62,6.55,4.18,4385
12686,0.53,Very Good,F,SI2,63.2,55.0,5.17,5.18,3.27,1110
23583,0.4,Very Good,D,VS2,62.4,60.0,4.66,4.67,2.91,845
18808,0.32,Ideal,E,VVS1,61.7,55.0,4.42,4.39,2.72,1020
2505,0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71,2827
20793,0.9,Premium,G,SI2,58.3,60.0,6.39,6.33,3.71,3377
3663,0.34,Very Good,H,VS2,61.9,56.0,4.46,4.49,2.77,537
23400,0.61,Good,F,VS1,60.6,60.3,5.46,5.51,3.32,2120
12555,1.0,Premium,F,SI1,61.6,60.0,6.31,6.41,3.9,5197
11450,1.54,Fair,I,SI2,64.6,56.0,7.3,7.26,4.7,7727
11940,0.31,Ideal,G,VVS2,61.7,57.0,4.36,4.39,2.7,671
15554,0.41,Ideal,E,VS2,62.4,54.0,4.79,4.76,2.98,999
7709,0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
25347,0.82,Ideal,E,SI1,61.8,58.0,5.99,6.05,3.72,3622
12797,0.4,Good,E,SI1,63.2,58.0,4.66,4.7,2.96,687
1396,1.02,Ideal,F,VS1,60.7,56.0,6.53,6.61,3.99,7091
26433,0.72,Premium,D,SI2,61.3,59.0,5.79,5.76,3.54,2155
3988,1.51,Good,H,VS1,58.2,58.0,7.49,7.56,4.38,10819
18542,1.01,Very Good,F,VS2,60.5,59.0,6.51,6.54,3.95,6944
16394,0.32,Premium,H,VS2,61.9,58.0,4.39,4.37,2.71,648
3773,0.53,Ideal,F,SI1,60.0,57.0,5.3,5.27,3.17,1908
769,1.25,Premium,E,VS2,61.5,58.0,6.98,6.91,4.27,10640
1175,0.36,Ideal,G,VVS2,62.3,56.0,4.56,4.53,2.83,1053
967,1.01,Very Good,G,VS2,61.6,56.0,6.4,6.46,3.96,5839
4136,2.74,Very Good,J,SI2,61.5,62.0,8.87,8.9,5.46,17164
7702,0.54,Ideal,H,VS1,,56.0,5.24,5.23,3.22,1637
5819,0.3,Premium,G,VVS1,60.7,58.0,4.36,4.34,2.64,1013
6678,2.09,Premium,H,SI2,62.1,58.0,8.22,8.17,5.09,17156
24328,0.32,Premium,I,SI1,61.1,59.0,4.42,4.38,2.69,540
7288,0.73,Very Good,E,SI2,59.3,57.0,5.88,5.95,3.51,2395
22685,1.21,Very Good,G,VS2,59.5,58.0,6.96,7.03,4.16,7906
26647,0.72,Ideal,I,VS2,61.6,55.0,5.76,5.78,3.55,2312
19780,0.41,Ideal,G,VS2,59.8,57.0,4.85,4.81,2.89,1061
23834,1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,5656
20112,1.03,Ideal,G,SI2,61.8,55.0,6.46,6.51,4.01,4582
69,0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359
13121,2.22,Ideal,I,VS2,61.3,56.0,8.36,8.45,5.15,18363
17060,1.06,Good,G,VS2,63.1,59.0,6.45,6.48,4.08,6212
26729,0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99,898
15508,1.0,Good,G,VS2,64.1,58.0,6.22,6.32,4.02,5002
21193,0.32,Ideal,E,VS1,61.9,56.0,4.41,4.38,2.72,972
16497,0.5,Very Good,D,VS2,62.9,61.0,4.96,5.03,3.14,1752
3599,0.3,Ideal,G,VS1,61.5,57.0,4.34,4.31,2.66,776
15397,0.97,Premium,F,SI2,58.9,58.0,6.51,6.47,3.82,4020
